museum,number,Genus,species,mass,wing,bill,tarsus,photo,age,5bar,growth,latitude,longitude,Elevation,Locality string,country,state,Sex,Day,Month,Year
UF,1991,Automolus,rubiginosus,,,,,,,1.62,3.24,,,,,,,,,,
UF,1990,Automolus,rubiginosus,,,,,,,1.58,3.16,,,,,,,,,,
UF,34060,Automolus,rubiginosus,,,,,,,1.52,3.04,,,,,,,,,,
UF,1906,Automolus,rubiginosus,,,,,,,1.5,3,,,,,,,,,,
UF,1986,Automolus,rubiginosus,,,,,,,1.44,2.88,,,,,,,,,,
UF,445,Automolus,rubiginosus,,,,,,,1.43,2.86,,,,,,,,,,
UF,1987,Automolus,rubiginosus,,,,,,,1.34,2.68,,,,,,,,,,
UF,1902,Automolus,rubiginosus,,,,,,,1.28,2.56,,,,,,,,,,
UF,1988,Automolus,rubiginosus,,,,,,,1.19,2.38,,,,,,,,,,
LSUMZ,71043,Cinclodes,excelsior,,,,,X,,1.64,3.28,,,,,,,,,,
LSUMZ,71044,Cinclodes,excelsior,,,,,X,,1.4,2.8,,,,,,,,,,
LSUMZ,25092,Cinclodes,patagonicus,,,,,X,,1.65,3.3,,,,,,,,,,
LSUMZ,31035,Cinclodes,patagonicus,,,,,X,,,0,,,,,,,,,,
LSUMZ,53299,Cinclodes,patagonicus,,,,,X,,,0,,,,,,,,,,
LSUMZ,53298,Cinclodes,patagonicus,,,,,X,,,0,,,,,,,,,,
LSUMZ,53300,Cinclodes,patagonicus,,,,,X,,,0,,,,,,,,,,
LSUMZ,53301,Cinclodes,patagonicus,,,,,X,,,0,,,,,,,,,,
LSUMZ,27720,Cinclodes,taczanowskii,,,,,X,,,0,,,,,,,,,,
LSUMZ,57739,Cyclarhis,gujanensis,,,,,,,,0,-27.466667,-58.833333,0,"Alvear, Ea. ’£andera",Argentina,Corrientes ,M,28,May,1962
LSUMZ,57740,Cyclarhis,gujanensis,,,,,,,,0,-27.466667,-58.833333,0,"Alvear, Ea. ’£andera",Argentina,Corrientes ,M,28,May,1962
LSUMZ,57743,Cyclarhis,gujanensis,,,,,,,,0,-27.466667,-58.833333,0,"Alvear, Ea. ’£andera",Argentina,Corrientes ,F,3,Jun,1962
LSUMZ,57749,Cyclarhis,gujanensis,,,,,,u,1.33,2.66,-27.466667,-58.833333,0,"Alvear, Ea. Santa Ana",Argentina,Corrientes ,M,11,Jun,1962
LSUMZ,57741,Cyclarhis,gujanensis,,,,,,,,0,-27.466667,-58.833333,0,"Alvear, Ea. Santa Ana",Argentina,Corrientes ,F,29,May,1962
LSUMZ,57742,Cyclarhis,gujanensis,,,,,,,,0,-27.466667,-58.833333,0,"Alvear, Ea. Santa Ana",Argentina,Corrientes ,F,29,May,1962
LSUMZ,57744,Cyclarhis,gujanensis,,,,,,,,0,-27.466667,-58.833333,0,"Alvear, Ea. Santa Ana",Argentina,Corrientes ,U,4,Jun,1962
LSUMZ,57745,Cyclarhis,gujanensis,,,,,,,,0,-27.466667,-58.833333,0,"Alvear, Ea. Santa Ana",Argentina,Corrientes ,F,4,Jun,1962
LSUMZ,57746,Cyclarhis,gujanensis,,,,,,,,0,-27.466667,-58.833333,0,"Alvear, Ea. Santa Ana",Argentina,Corrientes ,M,4,Jun,1962
LSUMZ,57747,Cyclarhis,gujanensis,,,,,,,,0,-27.466667,-58.833333,0,"Alvear, Ea. Santa Ana",Argentina,Corrientes ,F,6,Jun,1962
LSUMZ,57748,Cyclarhis,gujanensis,,,,,,,,0,-27.466667,-58.833333,0,"Alvear, Ea. Santa Ana",Argentina,Corrientes ,M,6,Jun,1962
LSUMZ,57677,Cyclarhis,gujanensis,,,,,,u,1.32,2.64,-29.181858,-58.078951,0,"Cnia. Garabí, Ea. Rincón de las Mercedes",Argentina,Corrientes ,M,23,Mar,1962
LSUMZ,57678,Cyclarhis,gujanensis,,,,,,,,0,-29.181858,-58.078951,0,"Cnia. Garabí, Ea. Rincón de las Mercedes",Argentina,Corrientes ,F,24,Mar,1962
LSUMZ,57679,Cyclarhis,gujanensis,,,,,,,,0,-29.181858,-58.078951,0,"Cnia. Garabí, Ea. Rincón de las Mercedes",Argentina,Corrientes ,M,27,Mar,1962
LSUMZ,57680,Cyclarhis,gujanensis,,,,,,,,0,-29.181858,-58.078951,0,"Cnia. Garabí, Ea. Rincón de las Mercedes",Argentina,Corrientes ,F,31,Mar,1962
